,country,x,y,cluster
0,South Africa,8.87295,10.289662,2
1,Vietnam,9.787223,7.2462473,3
3,Venezuela,9.3239765,6.5286303,3
4,Uruguay,7.4685698,7.8117194,1
6,Ukraine,6.971383,7.5505414,1
7,Turkey,10.44001,7.829522,3
8,Thailand,10.127849,6.912871,3
9,El Salvador,8.600377,9.180378,2
10,Slovakia,6.9976535,6.8607574,1
12,Singapore,9.622249,8.790359,4
13,Sweden,8.345181,9.928547,2
16,Saudi Arabia,9.794091,6.5161242,3
18,Romania,6.6855783,7.0027075,1
20,Paraguay,10.104062,7.5563364,3
22,Portugal,7.9355927,9.269484,2
24,Poland,6.7252526,6.8501654,1
25,Pakistan,10.39804,8.310587,3
28,Philippines,9.262812,8.282681,3
29,Peru,9.297055,7.840923,3
31,Panama,10.650225,8.019504,3
32,New Zealand,8.7548065,9.404067,2
33,Norway,9.2592535,10.501731,2
34,Netherlands,7.3022027,9.681256,2
36,Nicaragua,9.121973,10.222961,2
37,Nigeria,10.725523,7.343651,0
39,Malaysia,10.212047,6.822328,3
40,Mexico,9.377248,10.680673,2
42,Morocco,10.479863,7.750784,3
43,Latvia,6.5106525,7.5340023,1
45,Luxembourg,10.147504,9.024883,2
46,Lithuania,6.2857323,7.335738,1
47,Kazakhstan,8.945673,8.029277,3
48,"Korea, Republic of (South Korea)",7.747481,6.71026,1
49,Japan,7.4994016,7.3939986,1
50,Italy,7.404458,9.27661,1
51,Iceland,8.277863,10.211735,2
52,India,9.40497,7.0699124,3
53,Israel,9.718279,9.029674,2
54,Ireland,8.086549,6.48278,3
55,Indonesia,9.662398,6.8651996,3
56,Hungary,7.25354,7.183199,1
57,Honduras,10.727745,8.446637,3
58,Guatemala,10.844122,8.079238,3
60,Greece,7.101653,8.286818,1
61,France,8.030481,8.823931,2
63,Finland,8.210367,9.749514,2
64,Spain,7.803587,9.646692,2
66,Egypt,10.253606,7.0981655,3
67,Estonia,6.5764065,7.9213743,1
69,Ecuador,8.950665,10.684799,2
71,Dominican Republic,10.511752,8.602482,3
72,Denmark,8.045925,9.478425,2
74,Germany,7.078279,9.39659,1
75,Czech Republic,7.314253,6.6618953,1
76,Costa Rica,10.606725,9.032682,2
77,Colombia,9.690838,7.503412,3
78,Chile,8.72168,7.288344,3
79,Switzerland,9.289466,9.430673,2
80,Canada,8.903641,8.480766,2
82,Belarus,6.8084016,6.561611,1
83,Brazil,8.199923,7.543876,3
85,Bolivia,9.170031,10.733583,2
86,Bulgaria,6.626971,7.49095,1
87,Belgium,7.7053895,9.75108,2
88,Australia,9.465071,8.72319,2
89,Austria,7.875253,8.472059,2
90,Argentina,8.810012,9.762653,2
91,United Arab Emirates,10.653021,6.914866,0
92,United Kingdom,8.41438,8.786765,2
